transaction_hash,transaction_index,from_address,to_address,value,input,output,trace_type,call_type,reward_type,gas,gas_used,subtraces,trace_address,error,status,block_timestamp,block_number,block_hash,trace_id
0x6187fa8c977d95e292b31b47cfc581b55da2205f7407f83e83a078bfb6833b98,107,0xef1c6e67703c7bd7107eed8303fbe6ec2554bf6b,0x000000000022d473030f116ddee9f6b43ac78ba3,0,0x36c785160000000000000000000000009ca2c56c0f876108a5ec1c518baad5b86e651fb3000000000000000000000000b4e16d0168e52d35cacd2c6185b44281ec28c9dc000000000000000000000000000000000000000000000000000000002faf0800000000000000000000000000a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x,call,call,,204380,40599,1,0,,0,2023-03-02 03:25:11,16738200,0x50ca39093dfe4e9d03b5e7c413461eba2951383de0db5c08727f78393b292026,call_0x6187fa8c977d95e292b31b47cfc581b55da2205f7407f83e83a078bfb6833b98_0
0xa1e8c1b33569f6261636b9b62b489ba7c061e4f907c53337ac85848c7b2e642e,71,0xe7d3982e214f9dfd53d23a7f72851a7044072250,0x53098e70d4a595b0d965145e15941ba7812c79e7,75000000000000000,0x,0x,call,call,,98369,0,0,0,,1,2023-03-01 07:29:11,16732292,0x52f3967b03ddfef824c443aca4a283314f6bb3c1ce99f5fce0862dde2d5c2237,call_0xa1e8c1b33569f6261636b9b62b489ba7c061e4f907c53337ac85848c7b2e642e_0
0x0f266dc176db0e3ea54b8e59bc85e9e94d386781f19e77fa97b019218453de86,90,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xaa9772d31476e85fedd1099e40dd2ff5dee214ff,397000000000000000,0x,0x,call,call,,2300,0,0,0,,1,2023-03-01 02:42:23,16730874,0x83f4696f47964592dda76e0e763f51605f6669aceae9177ee94552853ee4ed62,call_0x0f266dc176db0e3ea54b8e59bc85e9e94d386781f19e77fa97b019218453de86_0
0xdfcb62ff8baabdb78ef9a60474b1c9485b8071e77be724c5149b300fd7603642,49,0x2f848984984d6c3c036174ce627703edaf780479,0xf148fb0e31e4a2729807f0a636e6e2a1e421d9bb,0,0xf3efc26000000000000000000000000000000000000000000000000000000000000000ba00000000000000000000000000000000000000000000000000000000000006b8,0x,call,call,,22147195,16376,1,"0,41",,1,2023-03-02 09:44:59,16740074,0x5e284629d9b847abb00de27fddb31a39e8a5f7c5a10bf0372103183356ec0b46,call_0xdfcb62ff8baabdb78ef9a60474b1c9485b8071e77be724c5149b300fd7603642_0_41
0x3c94a387fbd9465840c598833fcdccd778b0269994a16e91ba602e6e152478fa,121,0x000000000000ad05ccc4f10045630fb830b95127,0x983e96c26782a8db500a6fb8ab47a52e1b44862d,250000000000000000,0x9a1fc3a7000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000003a000000000000000000000000000000000000000000000000000000000000000e0000000000000000000000000000000000000000000000000000000000000001c7c9602ed69d8171ef5ef01340d933d47ef3e9cbcacb954355194a6c6eb4b10382180671a2ae7c1dc273af293d00cf1b08dbf363d07d4a474d0417c450ab4017d00000000000000000000000000000000000000000000000000000000000002e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ff77e1000000000000000000000000fe108a63f4c90868e58f3c0e569d5a2f07bc091400000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000dab4a563819e8fd93dba3b25bc3495000000000000000000000000f7479f9527c57167caff6386daa588b7bf05727f000000000000000000000000000000000000000000000000000000000000176a0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003782dace9d90000000000000000000000000000000000000000000000000000000000006400dc44000000000000000000000000000000000000000000000000000000006404d0c300000000000000000000000000000000000000000000000000000000000001a000000000000000000000000000000000b6d4d941003decff4ff614f689bd7abb00000000000000000000000000000000000000000000000000000000000001c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000001b19af70a9085668359aecaf7b126542660032508994becb6e0967aed3da14cdce5c54d233eeb7cb357f2dae08ca09df8852a590025e00bca221fadfb2462bdb6000000000000000000000000000000000000000000000000000000000000000e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002e000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000ff77e1000000000000000000000000b3587b643ab1f84075cffb6c4b62fc1a8d25ec8700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000dab4a563819e8fd93dba3b25bc3495000000000000000000000000f7479f9527c57167caff6386daa588b7bf05727f000000000000000000000000000000000000000000000000000000000000176a0000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003782dace9d90000000000000000000000000000000000000000000000000000000000006400dc45000000000000000000000000000000000000000000000000000000006400eb9c00000000000000000000000000000000000000000000000000000000000001a000000000000000000000000000000000dc87843b020a121191091c6c62a2767d00000000000000000000000000000000000000000000000000000000000001c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000001c403ba172308b995b80c734f2f49c907b9d98d8bbca9b6c6dce686776d96f89ca665be291d2a2b0b67fac81ec74c3dda145aa62b53e17d6add4c1808c91c9e259,0x,call,delegatecall,,335726,240916,4,0,,1,2023-03-02 17:32:23,16742372,0x5925f3ddcb485eba0deaac6adbfae26d79737833491a4cab0e8ae062a9e260d4,call_0x3c94a387fbd9465840c598833fcdccd778b0269994a16e91ba602e6e152478fa_0
0x34ded2c784ad24d8a10ca0924be515226f2f18621ec0156747558f9d4eff6c8b,127,0x07b80d98d41814c6e384b0afd27768506117dcbd,0xdac17f958d2ee523a2206206994597c13d831ec7,0,0xa9059cbb000000000000000000000000ea85a5ce9a349c6a00ed2788731243e8a925bea7000000000000000000000000000000000000000000000000000000001dcd6500,0x,call,call,,73193,41601,0,,,1,2023-03-02 10:45:47,16740374,0x65dcb97b0cdb0114fa1afa6c639a72d16d4fd43bf47f121a08eb8dd83f1713c9,call_0x34ded2c784ad24d8a10ca0924be515226f2f18621ec0156747558f9d4eff6c8b_
0x8b69ee81bce9b13e950d6bb856c211965210490e987924922a3d175e4f848ced,247,0xd66a130e6c81421d50d73907cf497f5006accd1a,0xfd3abc07752c3e407755f68e00d3bb02cf023756,0,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,0x,call,call,,55652,37851,1,,,1,2023-03-02 05:07:59,16738709,0x9d29520f7cce1947f9ab9ee5133025b37affe09e4ed202158145dae5ad62d06e,call_0x8b69ee81bce9b13e950d6bb856c211965210490e987924922a3d175e4f848ced_
0x40f5eba875cb18d24709e5517d1d76c5e39f757c3fbc658a370eb4238a03d1c8,129,0x16b2f56890583a38def7bc3372e170ec369fb2cb,0x5eb5babcefea846b220c82f222f00df95934f5f0,777000000000000,0xefef39a10000000000000000000000000000000000000000000000000000000000000001,0x0000000000000000000000000000000000000000000000000000000000000c48,call,delegatecall,,89432,87305,1,0,,1,2023-03-02 08:05:59,16739583,0xd231bfcade0e1bf1db887c6bb24dbf203385859875e32aa5cdfb06c75e998183,call_0x40f5eba875cb18d24709e5517d1d76c5e39f757c3fbc658a370eb4238a03d1c8_0
0xdf9e50b2544b92a53d8dcc1155e9d0d4a952a97824e2e5a938ce4c860eb34d4f,164,0x894ad95fa5e0181d3c30a1deee1067e7709c3944,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,0,0x1c5603050000000000000000000000006dcbd1f95795aaa470ac6dea62bcbf665e964dc00000000000000000000000000000000000000000000000000000000000000064,0x,call,call,,3414969,54374,2,"38,0,0,0",,1,2023-03-01 00:40:35,16730269,0x63375db54eb5ab604047e3dd4bf9dcbd77bb9a4f61587071e212164a796b72f4,call_0xdf9e50b2544b92a53d8dcc1155e9d0d4a952a97824e2e5a938ce4c860eb34d4f_38_0_0_0
0x1176f73c39e47ce709a1d2c1728020d9f0f06c9a90761159269aeae58620cc54,6,0xb4f5cc50c9c536a8f239e129e9a6cb5571622378,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0,0xa9059cbb000000000000000000000000bb79bcf3618c948d88a6fa39a1a0250b3ca3a67500000000000000000000000000000000000000000000000000000000055d4a80,0x0000000000000000000000000000000000000000000000000000000000000001,call,call,,57787,44017,1,,,1,2023-03-01 21:01:11,16736303,0xdf6e12a7fea01fbc1952fc2014e8f63f01f5508fd81d415ced70c6e0765d5f92,call_0x1176f73c39e47ce709a1d2c1728020d9f0f06c9a90761159269aeae58620cc54_
