address,symbol,name,decimals,total_supply,block_number
0x009cf7bc57584b7998236eff51b98a168dcea9b0,SYRUP,SyrupBar Token,18,152111842814714652776433933,
0x007ea5c0ea75a8df45d288a4debdd5bb633f9e56,CAN,CanYaCoin,18,95827000000000000000000000,
0x071c34672bc8186b9c3d7cb19a3d50f490188ccf,STLP,Stormswap LP Token,18,1000,
0x014a5bcd4ba9b327738d550762fd592014b77180,JNTR,Jointer,18,11927221908469559742484184456,
0x095418a82bc2439703b69fbe1210824f2247d77c,,,18,1167260686718649113763,
0x0b0f8031c2e6583875a24346a0233166805de920,BLP,BnEX LP Token,18,6975221779965019099269,
0x0c2f5921681a7dd956e223fae5dc23502bcb43cd,fONT,ForTube ONT,18,64452387665002553185164,
0x0c762d384f60c6bf4c9d2d833d4a0581752163aa,BLP,BSCswap LP Token,18,766170292,
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,PancakeSwap Token,18,211444992881415305224303118,
0x0eb3a705fc54725037cc9e008bdede697f62f335,ATOM,Cosmos Token,18,1000000000000000000000000,
0x0ed8e0a2d99643e1e65cca22ed4424090b8b7458,Cake-LP,Pancake LPs,18,581600123675248576371848,
0x10f17e5c5b7bfe1b7545baaeadfcf7014491daf1,STLP,Stormswap LP Token,18,3526555210029267748,
0x11883cdea6bab720092791cc89affa54428ce069,crBTCB,Cream BTCB Token,8,617112560401,
0x119c70f4605e07e4bb229e2360e203a1bbd52ce4,SPT1-ETH,SpartanPoolV1-Ethereum Token,18,6050065093955332369352,
0x1241bc80d825cc48aaf0e78f717c65bc00e1fec5,BLP,BnEX LP Token,18,17812707228394321,
0x12e048d01535e2b49675d22078f64fd2307d8a0c,BLP,BSCswap LP Token,18,30046364561590176323,
0x139900a73c7c7574ac34bfbe3e20b997ebf04244,BRBC,Rubic,8,100000000000,
0x1a31dee832fa505d2901de35204e1949fd850482,TLP,TunaSwap LP Token,18,188892078228579973410,
0x16939ef78684453bfdfb47825f8a5f714f12623a,XTZ,Tezos Token,18,4000000000000000000000000,
0x1a27950f32d39d40e16e521de71bda71bdb81d07,DLP,BUSD Token_DODO_LP_TOKEN_,18,1006461047225359312027,
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,XRP Token,18,72000000000000000000000000,
0x1c95ad10e4892921d89baf13bc81a5f72a2ec3a5,BLP,BSCswap LP Token,18,317954370399,
0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,Dai Token,18,62000000000000000000000000,
0x1ebf0ee99971c6269062c3b480e8e23b7a74756b,BLP,BSCswap LP Token,18,1194402936405569297018,
0x1b96b92314c44b159149f7e0303511fb2fc4774f,Cake-LP,Pancake LPs,18,5981371023186072742202505,
0x1f19d041fdce1b70901008229d77a8b02e315618,iUSDT,yfii Tether USD,18,4725943546389754082814,
0x1f6c3225e90dd9871610837429524f7d03e75a5d,BLP,BSCswap LP Token,18,516611068607265,
0x1ffe17b99b439be0afc831239ddecda2a790ff3a,crBNB,Cream BNB,8,383504397742471,
0x1f739ab08c270579ee246efb711324c076f97e4f,STLP,Stormswap LP Token,18,4651662685927274005615,
0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,Ethereum Token,18,455000000000000000000000,
0x206226a5d58b4c2d973f02955f83f56108c1328b,Cake-LP,Pancake LPs,18,5905042067893057738803,
0x2441fae7a7901e608e4cf66e2edb43fb43e01f1b,BAMP,Bantiample,9,1000000000000000000,
0x24b1983b230b11cc3fa9ff75c73ace7cb73e1795,EPT,Equator Pool Token,18,3901198641106645388692,
0x29740fafe4e5660620de4d4fd64059a85798e3d1,STLP,Stormswap LP Token,18,3963177917537275575,
0x2720ec9809f77e040d4682cf9f7294276b9ccc56,SPT1-USDT,SpartanPoolV1-Tether USD,18,2513199576721793188881145,
0x2bc4eb013ddee29d37920938b96d353171289b7c,crBUSD,Cream Binance USD,8,18659659519736729,
0x32dffc3fe8e3ef3571bf8a72c0d0015c5373f41d,JULb,JULb,18,601572859522329550968876,
0x2ecb95eb932dfbbb71545f4d23ca303700ac855f,VTBC,VTBC,18,1000000000000000000000000,
0x3791cc676c34f82e9438ed9752ec5dbc983a0bbc,BZAR,Bitcoinrand,8,2000000000000000,
0x33d6d5f813bf78163901b1e72fb1feb90e72fd72,fBCH,ForTube BCH,18,442514905456228460180,
0x37d2cc8c37523ea2679cabdac5924f16decd3656,BLP,BSCswap LP Token,18,34478239892137992915,
0x3cc3fb7adba475347ae4907850cee002fb6d0366,STLP,Stormswap LP Token,18,69484264459568420986,
0x3da30727ed0626b78c212e81b37b97a8ef8a25bb,Cake-LP,Pancake LPs,18,4108269801616179384716,
0x3de669c4f1f167a8afbc9993e4753b84b576426f,SPT1-WBNB,SpartanPoolV1-Wrapped BNB,18,3686727590226581250035005,
0x3942936782d788ce69155f776a51a5f1c9dd9b22,crLINK,Cream ChainLink Token,8,27390112768473,
0x3ba5aee47bb7eae40eb3d06124a74eb89da8ffd2,Rocket,,18,1000000000000000000000000000,
0x3f96886bc6bc496a2ff4737d32add2b7558cd00d,NFT,NFT.Finance,18,127000000000000000000000,
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,Cardano Token,18,200000000000000000000000000,
0x40929fb2008c830731a3d972950bc13f70161c75,TUNA,TunaToken,18,753933408461538461538452808,
0x42262651ce08666959537bca26788cb2c0398351,WBNB_BUSD_LP,Farm-LP-Token,18,503927045337081975377,
0x426d6d53187be3288fe37f214e3f6901d8145b62,crCREAM,Cream Cream,8,11048219568590,
0x4338665cbb7b2485a8855a139b75d5e34ab0db94,LTC,Litecoin Token,18,250000000000000000000000,
0x4a4e5802a9e89f8531da643c895394008111fa8d,STLP,Stormswap LP Token,18,178034474940046843,
0x43c82cd4ca10f80f956c75b97452e8ba0a45725e,BLP,BambooSwap LP Token,18,119197643000632574,
0x505b3eff56467c6892af2ab885781a876254d14a,PUMK,PUMK,18,9500000000000000000000,
0x4c3251e96fa5c9a1292e76de11bec7bd5a192d53,BLP,BambooSwap LP Token,18,1911192217107659849216,
0x4c817bded5a1cc8746fd940a1185f6bc9332b655,FCNT,Final.Fi,18,1098420000000000000000000,
0x512bd326596789c0f6d0dc7ffe6cb0345ac8ace6,EPT,Equator Pool Token,18,11706162132232830947,
0x52aaef46c9f02dbc45ce3a55ff2b7057f5ab6275,BLP,Bakery LPs,18,327478840408289081515,
0x52fa46d17dcda5c512ca09b6b48a8fc69ef5b50f,Cake-LP,Pancake LPs,18,379775861996178152130,
0x534cd786c2907abb600fec375d4b513700e592d3,fDOT,ForTube DOT,18,11307490091586448736726,
0x53345f3b9fcb873783ffa5c8f043233afd4991a6,fFOR,ForTube FOR,18,33485502946088379337466513,
0x53d88d2ffdbe71e81d95b08ae0ca49d0c4a8515f,crDOT,Cream Polkadot Token,8,196657980572899,
0x54f135a5fb523e467bcd6aa934939e1f25382275,DSPT,Dish Staking Power Token,18,44914131610852450000000000,
0x559e3d9611e9cb8a77c11335bdac49621382188b,BLP,Bakery LPs,18,54002112777538964891326,
0x55a565c1780ce1cc1682e3cb732f0f501ce0c82a,STLP,Stormswap LP Token,18,553905498968848480,
0x56784a17e2bf83b3a7f31cac5f13a8e08dfe41d3,EPT,Equator Pool Token,18,14225494229438352645,
0x55d398326f99059ff775485246999027b3197955,USDT,Tether USD,18,780000000000000000000000000,
0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,EOS,EOS Token,18,10640000000000000000000000,
0x57160962dc107c8fbc2a619aca43f79fd03e7556,fBUSD,ForTube BUSD,18,1295698175140048020276158,
0x567bf6e972f3f7667ab66b360e35ea9740419f05,BLP,BambooSwap LP Token,18,1317135101289743333,
0x56d68e3645c9a010c7fd5313530b9194ff66c725,BLP,Bakery LPs,18,11952838567969720607,
0x58521373474810915b02fe968d1bcbe35fc61e09,BLP,Bakery LPs,18,116999590235822141099,
0x59742a38d802670449534f3c8b2d8bc077021d8d,SPT1-RAVEN,SpartanPoolV1-Raven Protocol,18,124376779263586482946951,
0x5b8c0e7c1e7e84cc5f658febdeba7638ee0c8cae,STLP,Stormswap LP Token,18,469992259003776765925,
0x5b294814ca563e81085a858c0e53b9f2c7a3927f,BLP,Bakery LPs,18,1252907422593972839791,
0x5bb135b14271da714e404837ce2ae6b5a21e3162,BLP,BambooSwap LP Token,18,757940505637202364,
0x5ccc157d2e40ba9957339b42f60db234f2254fe0,BLP,BambooSwap LP Token,18,24031802174270831538,
0x6062a1e0f955982d1d814308281c9ee26b4b5c72,GREO,GreOcse,8,100000000000000,
0x6175030ca189bad158228d0b36d4c9209ae06567,BLP,BnEX LP Token,18,22716514485315824777,
0x6330c052e35f23ad219ad9afbaddf53a68f2b2b2,BLP,BSCswap LP Token,18,168108181012217044833,
0x6112f646ad99fdf8331f94d514d3d4a4402ea825,TLP,TunaSwap LP Token,18,40674012751777548691161,
0x62cf161ab22b5cd4f7e761a81e5bdedd08183875,xBAMBOO,BambooBar,18,25370348251251139483585,
0x6400fc983a1b79aaa916c9b1cbffb1c8fe0c6fb0,RPC,Royal Persian Carpet Token,18,100000000000000000020000000,
0x654456f62510eabf663515f5b7df93b096bb7042,SAFU,SAFU Token,18,510000000000000000000000,
0x6a1cd7377c7b2fd42151c93206af5089b4658372,BAMBOO,BambooToken,18,178549411237814386625535428,
0x6e218ea042bef40a8baf706b00d0f0a7b4fce50a,BLP,Bakery LPs,18,1228333949281660452696006,
0x658a109c5900bc6d2357c87549b651670e5b0539,FOR,The Force Token,18,99999999999999999999999999,
0x69dc95d1ae562e0701156ead9938d73926239f59,BLP,BSCswap LP Token,18,40971226923706999,
0x7270fd3bfe698db8be63b9e63c28fa0bcb3aed8c,BLP,BSCswap LP Token,18,125208956027344228888,
0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,Polkadot Token,18,7500000000000000000000000,
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,BTCB Token,18,29501000000000000000000,
0x732b6620d3469204bcc6f44c0b40cd8c4bafc747,BAKEDESTROY,Bakery Destroy Token,18,10000000000000000000000,
0x75b46ca5bb3e0a70d937ac392dcd318dbfef1199,BPT,BSCswap Pro Pool Token,18,100000000000000000000,
0x7687ccf12c424a4dd3eebde09809e3e38c883faf,JEO,Jeo Exchange,18,300000000000000000000000,
0x78e1936f065fd4082387622878c7d11c9f05ecf4,JNTR/b,JNTR/b,18,873506217396904219500000,
0x784b8124d04d6ff5c5ecf234b5679f72a4527665,BLP,BSCswap LP Token,18,23590976280355493,
